Distribution,Fork from
1,77
2,43
3,49
4,23
5,52
6,7
7,40
8,33
9,23
10,103
11,23
12,103
13,77
14,77
15,7
16,36
17,40
18,80
19,13
20,23
21,23
22,42
23,40
24,23
25,23
26,23
27,40
28,23
29,103
30,23
31,40
32,23
33,7
34,80
35,103
36,33
37,40
38,23
39,23
40,7
41,23
42,23
43,33
44,52
45,103
46,24
47,103
48,103
49,50
50,80
51,7
52,23
53,77
54,23
55,23
56,#N/A
57,98
58,42
59,88
60,#N/A
61,40
62,50
63,77
64,7
65,35
66,23
67,23
68,23
69,40
70,50
71,103
72,#N/A
73,36
74,88
75,40
76,23
77,112
78,80
79,33
80,#N/A
81,80
82,77
83,49
84,36
85,88
86,80
87,77
88,90
89,24
90,40
91,66
92,23
93,23
94,92
95,23
96,7
97,88
98,40
99,23
100,40
101,103
102,23
103,23
104,#N/A
105,#N/A
106,23
107,36
108,103
109,88
110,40
111,23
112,19
113,23
114,103
115,88
116,103
