Distribution,Forked from
AlmaLinux,Red Hat Enterprise Linux (RHEL)
Alpine Linux,LEAF Project
ALT Linux,Mandrake Linux
antiX,Debian
antiX,MEPIS
ArchBang,Arch Linux
Arch Linux,
BLAG,Fedora
Bodhi Linux,Debian
Bodhi Linux,Ubuntu
Canaima,Debian
Canaima,Ubuntu
CentOS,Red Hat Enterprise Linux (RHEL)
CentOS Stream,Red Hat Enterprise Linux (RHEL)
Chakra,Arch Linux
ChromeOS,Gentoo Linux
Clear Linux OS,
ClearOS,RHEL
ClearOS,CentOS
CrunchBang Linux,Debian
Damn Small Linux,Debian
Damn Small Linux,Knoppix
Debian,
Debian Edu,Debian
Devuan,Debian
Deepin,Debian
Dragora GNU/Linux-Libre,
dyne:bolic,Debian
Elementary OS,Ubuntu
Elementary OS,Debian
ELinOS,
Emdebian Grip,Debian
EndeavourOS,Arch Linux
Fedora Linux,Red Hat Linux
Freespire,Ubuntu
Gentoo Linux,Enoch Linux
Guix System,
gNewSense,Debian
Grml,Debian
Hyperbola GNU/Linux-libre,Arch Linux
Kali Linux,Debian
Knoppix,Debian
Korora,Fedora
LibreCMC,LibreWRT
Linspire,Ubuntu
Linux Mint,Debian
Linux Mint,Ubuntu
Linux Lite,Ubuntu
Mageia,Mandriva Linux
Mandriva Linux,Red Hat Linux
Manjaro Linux,Arch Linux
MEPIS,Debian
MIRACLE LINUX,Red Hat Enterprise Linux (RHEL)
Musix GNU+Linux,Debian
Netrunner,Debian
NixOS,
Novell Open Enterprise Server,SUSE Linux Enterprise Server
OpenELEC,Kodi
openSUSE,Slackware
openSUSE,Jurix
OpenWrt,
OpenMandriva Lx,Mandriva Linux
Oracle Linux,Red Hat Enterprise Linux (RHEL)
Parabola GNU/Linux-libre,Arch Linux
Pardus,Gentoo (2011.2)
Pardus,Debian
Parrot OS,Debian
Parsix,Debian
Parted Magic,
PCLinuxOS,Mandriva Linux
Pop! OS,Ubuntu
Pentoo,Gentoo Linux
Porteus,Slackware
Puppy Linux,
PureOS,Debian
Qubes OS,Xen and Fedora
Red Hat Enterprise Linux (RHEL),Red Hat Linux
Red Hat Enterprise Linux (RHEL),Fedora
Red Hat Linux,–
Rocks Cluster Distribution,Red Hat Linux
Rocky Linux,Red Hat Enterprise Linux (RHEL)
ROSA,Mandriva
Sabayon Linux,Gentoo Linux
Salix OS,Slackware
Scientific Linux,Red Hat Linux
Scientific Linux,Red Hat Enterprise Linux (RHEL)
Slackware,Softlanding Linux System (SLS)
Slax,Debian
Slax,Slackware
SliTaz GNU/Linux,
Solus,Pardus Linux
SolydXK,Debian
SparkyLinux,Debian
Source Mage GNU/Linux,Sorcerer
SteamOS,Debian (2.0)
SteamOS,Arch Linux (3.0)
SUSE Linux Enterprise,Slackware
SUSE Linux Enterprise,Jurix
Tails,Debian
Tiny Core Linux,Independent
Trisquel GNU/Linux,Ubuntu LTS
TurnKey GNU/Linux,Debian
Ubuntu,Debian
Univention Corporate Server,Debian
Ututo,Ubuntu
Ututo,Gentoo Linux
VectorLinux,Slackware
Void Linux,
Webconverger,Debian
Xandros,Corel Linux
Zentyal,Debian
Zentyal,Ubuntu
Zenwalk,Slackware
Zorin OS,Ubuntu
