Distribution,Forked from,T0,T1,T2,,,
AlmaLinux,Red Hat Enterprise Linux (RHEL),server, workstation,,,,
Alpine Linux,LEAF Project,security, lightweight, general,,,
ALT Linux,Mandrake Linux,general, school,,,,
antiX,Debian,old computers,,,,,
antiX,MEPIS,old computers,,,,,
ArchBang,Arch Linux,general,,,,,
Arch Linux,,general,,,,,
BLAG,Fedora,desktop,,,,,
Bodhi Linux,Debian,desktop, lightweight,,,,
Bodhi Linux,Ubuntu,desktop, lightweight,,,,
Canaima,Debian,Government of Venezuela,,,,,
Canaima,Ubuntu,Government of Venezuela,,,,,
CentOS,Red Hat Enterprise Linux (RHEL),server, workstation,,,,
CentOS Stream,Red Hat Enterprise Linux (RHEL),server, workstation,,,,
Chakra,Arch Linux,desktop,,,,,
ChromeOS,Gentoo Linux,web applications,,,,,
Clear Linux OS,,container, server, desktop,,,
ClearOS,RHEL,server, gateway, network,,,
ClearOS,CentOS,server, gateway, network,,,
CrunchBang Linux,Debian,desktop,,,,,
Damn Small Linux,Debian,lightweight, portable,,,,
Damn Small Linux,Knoppix,lightweight, portable,,,,
Debian,,general, server, desktop,,,
Debian Edu,Debian,schools,,,,,
Devuan,Debian,general,,,,,
Deepin,Debian,schools,,,,,
Dragora GNU/Linux-Libre,,general,,,,,
dyne:bolic,Debian,multimedia,,,,,
Elementary OS,Ubuntu,general,,,,,
Elementary OS,Debian,general,,,,,
ELinOS,,embedded systems,,,,,
Emdebian Grip,Debian,embedded systems,,,,,
EndeavourOS,Arch Linux,general,,,,,
Fedora Linux,Red Hat Linux,general,,,,,
Freespire,Ubuntu,desktop,,,,,
Gentoo Linux,Enoch Linux,general,,,,,
Guix System,,live, maintenance, security, network, forensic, accessibility
gNewSense,Debian,general, server,,,,
Grml,Debian,live, maintenance, security, network, forensic, accessibility
Hyperbola GNU/Linux-libre,Arch Linux,general,,,,,
Kali Linux,Debian,auditing, forensic, security, network,,
Knoppix,Debian,live,,,,,
Korora,Fedora,desktop,,,,,
LibreCMC,LibreWRT,embedded systems,,,,,
Linspire,Ubuntu,?,,,,,
Linux Mint,Debian,desktop,,,,,
Linux Mint,Ubuntu,desktop,,,,,
Linux Lite,Ubuntu,desktop,,,,,
Mageia,Mandriva Linux,general,,,,,
Mandriva Linux,Red Hat Linux,general,,,,,
Manjaro Linux,Arch Linux,general,,,,,
MEPIS,Debian,desktop, server,,,,
MIRACLE LINUX,Red Hat Enterprise Linux (RHEL),server,,,,,
Musix GNU+Linux,Debian,multimedia,,,,,
Netrunner,Debian,desktop,,,,,
NixOS,,general, server, desktop,,,
Novell Open Enterprise Server,SUSE Linux Enterprise Server,server,,,,,
OpenELEC,Kodi,multimedia,,,,,
openSUSE,Slackware,general, desktop,,,,
openSUSE,Jurix,general, desktop,,,,
OpenWrt,,embedded systems,,,,,
OpenMandriva Lx,Mandriva Linux,multimedia,,,,,
Oracle Linux,Red Hat Enterprise Linux (RHEL),server,,,,,
Parabola GNU/Linux-libre,Arch Linux,general,,,,,
Pardus,Gentoo (2011.2),general,,,,,
Pardus,Debian,general,,,,,
Parrot OS,Debian,security, desktop,,,,
Parsix,Debian,desktop,,,,,
Parted Magic,,live, maintenance,,,,
PCLinuxOS,Mandriva Linux,desktop,,,,,
Pop! OS,Ubuntu,auditing, security,,,,
Pentoo,Gentoo Linux,auditing, security,,,,
Porteus,Slackware,lightweight, portable,,,,
Puppy Linux,,lightweight, portable,,,,
PureOS,Debian,general, security, privacy,,,
Qubes OS,Xen and Fedora,security by compartmentalization, desktop,,,,
Red Hat Enterprise Linux (RHEL),Red Hat Linux,general,,,,,
Red Hat Enterprise Linux (RHEL),Fedora,general,,,,,
Red Hat Linux,–,server, workstation,,,,
Rocks Cluster Distribution,Red Hat Linux,server, workstation,,,,
Rocky Linux,Red Hat Enterprise Linux (RHEL),general,,,,,
ROSA,Mandriva,server, general,,,,
Sabayon Linux,Gentoo Linux,general,,,,,
Salix OS,Slackware,general,,,,,
Scientific Linux,Red Hat Linux,server, workstation,,,,
Scientific Linux,Red Hat Enterprise Linux (RHEL),server, workstation,,,,
Slackware,Softlanding Linux System (SLS),general,,,,,
Slax,Debian,live,,,,,
Slax,Slackware,live,,,,,
SliTaz GNU/Linux,,portable,,,,,
Solus,Pardus Linux,desktop,,,,,
SolydXK,Debian,desktop,,,,,
SparkyLinux,Debian,general, video games,,,,
Source Mage GNU/Linux,Sorcerer,desktop,,,,,
SteamOS,Debian (2.0),video games,,,,,
SteamOS,Arch Linux (3.0),video games,,,,,
SUSE Linux Enterprise,Slackware,edge, workstation, server, supercomputer,,
SUSE Linux Enterprise,Jurix,edge, workstation, server, supercomputer,,
Tails,Debian,security-focused aimed for anonymity and privacy,,,,,
Tiny Core Linux,Independent,portable,,,,,
Trisquel GNU/Linux,Ubuntu LTS,desktop,,,,,
TurnKey GNU/Linux,Debian,server based software appliance library aiming to balance security and ease of use,,,,,
Ubuntu,Debian,server based software appliance library aiming to balance security and ease of use,,,,,
Univention Corporate Server,Debian,home, business,school,,,
Ututo,Ubuntu,general,,,,,
Ututo,Gentoo Linux,general,,,,,
VectorLinux,Slackware,desktop,,,,,
Void Linux,,general,,,,,
Webconverger,Debian,kiosk software, digital signage,,,,
Xandros,Corel Linux,?,,,,,
Zentyal,Debian,small business server,,,,,
Zentyal,Ubuntu,small business server,,,,,
Zenwalk,Slackware,general,,,,,
Zorin OS,Ubuntu,general, desktop,,,,
